('consult', 'NN')
('mechanisms', 'NNS')
('represented', 'VBD')
('work-round', 'JJ')
('wishes', 'NNS')
('intermediates', 'VBZ')
('satisfy', 'JJ')
('absir', 'NN')
('summing', 'VBG')
('ranges', 'NNS')
('encode_alpha', 'RB')
('than', 'IN')
('iteration', 'NN')
('following', 'VBG')
('inline', 'JJ')
('none', 'NN')
('cancels', 'NNS')
('rationale', 'VBP')
('file->idat_max', 'JJ')
('involving', 'VBG')
('paramsnparams', 'NNS')
('srgb1', 'VBP')
('desire', 'NN')
('misbehavior', 'JJ')
('pngh', 'NN')
('hardware', 'NN')
('png_ptr->bit_depth', 'JJ')
('room', 'NN')
('tmpfile', 'NN')
('weighted', 'VBD')
('amount', 'NN')
('read_interlacing', 'VBG')
('feedback', 'NN')
('jcb', 'NN')
('receives', 'VBZ')
('compression_buffer', 'VBP')
('practice', 'NN')
('factor', 'NN')
('png_ptr->zowner', 'JJ')
('equations', 'NNS')
('limitation', 'NN')
('libpng-156', 'JJ')
('blocky', 'JJ')
('image-height', 'JJ')
('disclaimer', 'NN')
('png_transform_', 'NN')
('png_no_stdio', 'NN')
('received', 'VBD')
('expand16', 'JJ')
('white-scale', 'JJ')
('modulo', 'NN')
('reported', 'VBD')
('completion', 'NN')
('negate', 'NN')
('flushes', 'NNS')
('strcmp', 'VBP')
('preset', 'NN')
('word', 'NN')
('changed', 'VBD')
('bad_combos', 'NNS')
('zlib_fatal', 'NN')
('marked', 'VBD')
('care', 'NN')
('caught', 'VBN')
('green-x', 'JJ')
('viewing', 'VBG')
('unsigned_max', 'JJ')
('intersects', 'NNS')
('say', 'VBP')
('red-cred-scale', 'JJ')
('png_row_in_interlace_passy', 'NN')
('mybuffer', 'NN')
('skp', 'JJ')
('format_flag', 'JJ')
('8-bits', 'JJ')
('composition', 'NN')
('ferror', 'NN')
('combined', 'VBN')
('xyz1', 'CD')
('allocating', 'VBG')
('fclose', 'RB')
('eliminated', 'VBN')
('take', 'NN')
('writing', 'VBG')
('assumes', 'NNS')
('put', 'VBD')
('raw', 'JJ')
('recompile', 'NN')
('cnhp730sicc', 'NN')
('restricted', 'VBD')
('per-type', 'JJ')
('png_get_io_ptrpng_ptr', 'NN')
('freedom', 'NN')
('signalled', 'VBD')
('align_type', 'JJ')
('illusion', 'NN')
('testing', 'VBG')
('alpha0', 'JJ')
('displaying', 'VBG')
('vulnerability', 'NN')
('read_srgb', 'NN')
('inaccuracy', 'NN')
('adigits', 'VBZ')
('bitmap', 'RB')
('digitized', 'VBN')
('png_alpha_png', 'NN')
('saw_dot', 'NN')
('read_itxt', 'VBD')
('libpng-140', 'JJ')
('bgra', 'JJ')
('represent', 'NN')
('appear', 'VBP')
('zlib_io_max', 'NN')
('predict', 'JJ')
('compilation', 'NN')
('inserted', 'VBD')
('typing', 'VBG')
('suffixed', 'JJ')
('atob0tag', 'NN')
('truncated', 'VBD')
('deleted', 'JJ')
('premultiplying', 'NN')
('printer', 'NN')
('gray<->color', 'NN')
('results', 'NNS')
('chop', 'VBP')
('processing', 'VBG')
('implied', 'VBN')
('theyd', 'NN')
('reinitializes', 'VBZ')
('plain', 'VBP')
('performing', 'VBG')
('utf', 'JJ')
('checker', 'NN')
('newline', 'JJ')
('keywords', 'NNS')
('file-bits', 'JJ')
('image->file_name', 'JJ')
('contining', 'VBG')
('wish', 'JJ')
('revised', 'VBN')
('mntr', 'NN')
('positioned', 'VBD')
('logged', 'JJ')
('quantity', 'NN')
('whichever', 'NN')
('exists', 'VBZ')
('chance', 'NN')
('flip', 'NN')
('aids', 'NNS')
('chunked', 'VBD')
('delay', 'NN')
('manage', 'NN')
('minor', 'JJ')
('begin_read', 'NN')
('approximation', 'NN')
('replaces', 'NNS')
('garbage', 'VBP')
('release_build', 'JJ')
('future', 'NN')
('limiting', 'VBG')
('prediction', 'NN')
('putting', 'VBG')
('release', 'NN')
('filedata_pos', 'NN')
('intended', 'VBN')
('png_ptr->zstream', 'NN')
('uint_max5', 'JJ')
('whitespace', 'NN')
('involves', 'VBZ')
('fileid', 'JJ')
('no-transform', 'JJ')
('next_type', 'JJ')
('measure', 'NN')
('red-zred-scale', 'JJ')
('percentage', 'NN')
('benign_errors', 'NNS')
('png_read_transforms_supported', 'VBD')
('non-device', 'JJ')
('encodings0', 'NN')
('png_encode_alpha', 'NN')
('png_warn_uninitialized_row', 'NN')
('tags', 'IN')
('div-by-zero', 'JJ')
('apple', 'NN')
('recognize', 'NN')
('mark', 'NN')
('duplicate', 'JJ')
('math', 'NN')
('color-maps', 'NNS')
('floorv', 'JJ')
('damage', 'NN')
('multiple_algorithms', 'NN')
('converse', 'NN')
('handles', 'VBZ')
('libpng-1219', 'JJ')
('digital', 'JJ')
('deciding', 'VBG')
('stdout', 'NN')
('uncomment', 'NN')
('output_is_encoded', 'VBD')
('cbrow', 'JJ')
('discard', 'JJ')
('encoder', 'NN')
('self-consistent', 'JJ')
('forbid', 'NN')
('perfect', 'JJ')
('strip_alpha', 'NN')
('signals', 'NNS')
('png_cmap_', 'VBP')
('calculations', 'NNS')
('headers', 'NNS')
('parentheses', 'VBZ')
('5precision', 'CD')
('modes', 'NNS')
('write_transforms', 'NNS')
('intensityopaque', 'VBP')
('kill', 'VB')
('png_image_buffer_size', 'VB')
('says', 'VBZ')
('replacing', 'VBG')
('charles', 'NNS')
('endpoint', 'NN')
('costs', 'NNS')
('bytes-per-pixel', 'JJ')
('variation', 'NN')
('characteristics', 'NNS')
('png-12', 'JJ')
('tbd', 'NN')
('risk', 'NN')
('png_optimized_alpha', 'NN')
('increases', 'NNS')
('gamma_depth', 'VBP')
('treats', 'NNS')
('undoes', 'JJ')
('pointless', 'JJ')
('differ', 'NN')
('counted', 'VBD')
('component<alpha', 'NN')
('within', 'IN')
('retained', 'VBN')
('bogus', 'NNS')
('took', 'VBD')
('balance', 'NN')
('imposes', 'NNS')
('get_trns', 'VBP')
('macros', 'NNS')
('bitwise', 'VBP')
('hunts', 'NNS')
('stride', 'VB')
('fall', 'NN')
('leaks', 'NNS')
('increasing', 'VBG')
('xrgbrgbxagga', 'NN')
('modifier', 'NN')
('requiring', 'VBG')
('read_unknown_chunks', 'NNS')
('global_use', 'VBP')
('png_background_is_gray', 'JJ')
('png_read_update_info->png_read_start_row', 'JJ')
('adjust', 'NN')
('png_set_invert_alphapng_structrp', 'NN')
('out-of-range', 'JJ')
('do_16bit', 'NN')
('complains', 'NNS')
('read_iccp', 'VBP')
('default_tests', 'NNS')
('display_log', 'VBP')
('read_expand', 'NN')
('dilger', 'NN')
('support', 'NN')
('aligned', 'VBD')
('dbl_epsilon', 'NN')
('placed', 'VBD')
('restraint', 'NN')
('chars', 'NNS')
('january', 'JJ')
('fifth', 'JJ')
('generate', 'NN')
('interdependencies', 'NNS')
('initializes', 'VBP')
('install', 'NN')
('grained', 'VBN')
('deallocate', 'JJ')
('png_strip_alpha', 'NNS')
('libpng-1230', 'JJ')
('sequential_read', 'JJ')
('blue-scale', 'JJ')
('coefficient', 'NN')
('comparing', 'VBG')
('inform', 'NN')
('installed', 'VBN')
('glibc', 'JJ')
('red-scalegreen-scale', 'JJ')
('png_filter_value_up', 'NN')
('boring', 'JJ')
('loss', 'NN')
('modify', 'NN')
('invalidate', 'JJ')
('a-c', 'JJ')
('gzip', 'NN')
('max-outmax-in', 'JJ')
('yuck', 'NN')
('defaulting', 'VBG')
('sliding', 'VBG')
('returning', 'VBG')
('compiling', 'VBG')
('leak', 'JJ')
('non-transform', 'JJ')
('inflatereset', 'NN')
('set_user_limits', 'NNS')
('reduction', 'NN')
('relicate', 'NN')
('known', 'VBN')
('replacements', 'NNS')
('superfast', 'JJ')
('gpre', 'JJ')
('png_warning_parameter_count', 'NN')
('hacking', 'VBG')
('<16', 'NNP')
('r^gamma', 'NN')
('png_pass_colswidth', 'NN')
('filled', 'VBD')
('b-c', 'JJ')
('happened', 'VBD')
('pre-1610', 'JJ')
('chose', 'JJ')
('perception', 'NN')
('works', 'VBZ')
('lists', 'NNS')
('shortcut', 'VBP')
('quality', 'NN')
('calculating', 'VBG')
('_out', 'IN')
('turning', 'VBG')
('declare', 'JJ')
('thereof', 'JJ')
('evidence', 'NN')
('allocator', 'NN')
('checking', 'VBG')
('bottom', 'JJ')
('priority', 'NN')
('png_read_pack_supported', 'VBN')
('cant', 'NN')
('png_easy_access_supported', 'VBN')
('allocated', 'VBD')
('in-place', 'NN')
('released', 'VBN')
('mask_alpha', 'JJ')
('boundary', 'JJ')
('expected', 'VBN')
('treatment', 'NN')
('held', 'VBD')
('btoax', 'JJ')
('inter-chunk', 'JJ')
('auto', 'NN')
('combination', 'NN')
('hack', 'NN')
('png_modification', 'NN')
('opened', 'VBD')
('whining', 'VBG')
('modifier_read', 'JJ')
('vary', 'JJ')
('permute', 'NN')
('httpswwwsecurecodingcertorgconfluencedisplayc', 'NN')
('error_text', 'JJ')
('_imp', 'NN')
('know', 'VBP')
('decent', 'JJ')
('providing', 'VBG')
('simplified_write', 'JJ')
('swapping', 'VBG')
('ship', 'NN')
('discovered', 'VBD')
('red-scale', 'JJ')
('read_compressed_text', 'JJ')
('png_filler_after', 'NN')
('libpng-17', 'JJ')
('exceptions', 'NNS')
('read_invert_alpha', 'VBP')
('deprecate', 'JJ')
('insignificant', 'NN')
('relates', 'VBZ')
('validated', 'VBN')
('ignore', 'JJ')
('condition', 'NN')
('knows', 'NNS')
('accelerated', 'VBD')
('spec', 'JJ')
('read_transforms', 'NNS')
('png_max_palette_length', 'VBP')
('branch', 'NN')
('tofrom', 'NN')
('see', 'VBP')
('factoring', 'VBG')
('odd', 'JJ')
('do_round', 'NN')
('matters', 'NNS')
('pipeline', 'NN')
('world', 'NN')
('colormap->pixel', 'NN')
('changes', 'NNS')
('route', 'VBP')
('idat_listlength', 'NN')
('alphas', 'NN')
('sparkle', 'NN')
('microsoft', 'RBS')
('trouble', 'NN')
('update_info', 'JJ')
('-710', 'NNP')
('pngsuite', 'NN')
('png_io_chunk_data', 'NN')
('top-most', 'NN')
('next_format', 'JJ')
('case', 'NN')
('crc_one_byte', 'NN')
('fire', 'NN')
('png_div257', 'NN')
('basedelta', 'NN')
('vectors', 'NNS')
('throughout', 'IN')
('including', 'VBG')
('convert-to-srgb', 'JJ')
('irrelevant', 'JJ')
('iff', 'NN')
('replacement', 'NN')
('alpha025', 'IN')
('app-error', 'JJ')
('allocators', 'NNS')
('extensions', 'NNS')
('react', 'VBP')
('threshold', 'JJ')
('ancestors', 'NNS')
('png_info_chunk', 'VBP')
('via_linear', 'JJ')
('replicate', 'NN')
('floating', 'VBG')
('80-bit', 'JJ')
('perceive', 'JJ')
('zap', 'NN')
('makes', 'VBZ')
('steal', 'JJ')
('computer', 'NN')
('vhivlo', 'VBD')
('blue-xred-y', 'JJ')
('abc', 'NN')
('algorithm', 'NN')
('bool', 'NN')
('adequate', 'JJ')
('non-palette', 'JJ')
('info_struct', 'NN')
('adam', 'NN')
('compliant', 'NN')
('describes', 'VBZ')
('across', 'IN')
('succeed', 'VB')
('png_filter_value_none', 'JJ')
('net', 'JJ')
('loops', 'NNS')
('file-name', 'JJ')
('waste', 'NN')
('png_ptrunknown_chunk', 'NN')
('behavior', 'NN')
('machine', 'NN')
('process_idat', 'NN')
('messed', 'VBD')
('non', 'JJ')
('-1<<15-png_max_gamma_8', 'NNP')
('map', 'NN')
('successive', 'JJ')
('relied', 'VBD')
('libpng-154', 'JJ')
('validity', 'NN')
('clobbered', 'VBD')
('contents', 'NNS')
('though', 'IN')
('statement', 'NN')
('ascp', 'NN')
('freeing', 'VBG')
('work', 'NN')
('become', 'VBN')
('read_chrm', 'JJ')
('reports', 'NNS')
('determinant', 'NN')
('displayblock', 'NN')
('png_do_read_transforms', 'NNS')
('maintained', 'VBD')
('iterator', 'NN')
('interesting', 'VBG')
('check_end', 'JJ')
('errors', 'NNS')
('png_io_chunk_hdr', 'VBP')
('supposed', 'VBN')
('achieved', 'JJ')
('components', 'NNS')
('single_rowbuf_alloc', 'VBP')
('read_alpha_mode', 'JJ')
('scp', 'JJ')
('colorxcolor-z', 'JJ')
('png_read_struct', 'NN')
('someplace', 'NN')
('file-not-found', 'JJ')
('standard_displayfiller', 'NN')
('ensuring', 'VBG')
('origin', 'JJ')
('coeefficients', 'NNS')
('tested', 'VBN')
('ciexyz', 'JJ')
('image_pixel_add_alpha', 'JJ')
('replace', 'VB')
('lookup', 'NN')
('duplicated', 'VBN')
('rows', 'VBZ')
('typingerrors', 'NNS')
('improve', 'VB')
('gregs', 'NNS')
('consortium', 'NN')
('clearing', 'VBG')
('context', 'JJ')
('hide', 'NN')
('supporting', 'VBG')
('containing', 'VBG')
('inaccuracies', 'NNS')
('-5e-5', 'NNP')
('png_pass_rowsheight', 'NN')
('restricts', 'VBZ')
('invariant', 'JJ')
('compiler', 'NN')
('formatting', 'VBG')
('~poyntonnotescolour_and_gammacolorfaqtxt', 'JJ')
('red-scalegreen-scaleblue-scale', 'JJ')
('setjmp_supported', 'VBN')
('store_storefile', 'JJ')
('ab-c-c', 'JJ')
('kodak', 'NN')
('exits', 'NNS')
('nyi', 'JJ')
('png-fix-itxt', 'JJ')
('randers-pehrson', 'JJ')
('overread', 'JJ')
('png_pass_row_shiftpass', 'NN')
('green-xgreen-scale', 'JJ')
('cleans', 'NNS')
('without', 'IN')
('combos', 'JJ')
('serves', 'NNS')
('specify', 'VBP')
('samples', 'NNS')
('depends', 'VBZ')
('popcount', 'NN')
('rounded', 'VBD')
('png_pass_height', 'JJ')
('mechanism', 'NN')
('saves', 'NNS')
('depthswap', 'VBP')
('matter', 'JJR')
('sub-byte', 'JJ')
('datastreams', 'NNS')
('normalized', 'VBN')
('gets', 'VBZ')
('thing', 'NN')
('progressive_read', 'NN')
('accumulate', 'VBP')
('seed', 'NN')
('discussion', 'NN')
('sigterm', 'NN')
('png_set_option_supported', 'VBD')
('append', 'JJ')
('non-matching', 'JJ')
('color-type3', 'JJ')
('loop', 'NN')
('deals', 'NNS')
('modifications', 'NNS')
('working', 'VBG')
('creation', 'NN')
('input_file', 'IN')
('eliminating', 'VBG')
('_init', 'JJ')
('boolean', 'JJ')
('winc', 'NN')
('recycled', 'VBD')
('destination', 'NN')
('codes', 'NNS')
('stepping', 'VBG')
('awful', 'JJ')
('end-point', 'JJ')
('feature', 'NN')
('fact', 'NN')
('cramers', 'NNS')
('selection', 'VBP')
('sticky', 'JJ')
('non-printing', 'JJ')
('crazy', 'JJ')
('association', 'NN')
('blue-y-green-y', 'JJ')
('find', 'NN')
('panel', 'NN')
('compilers', 'NNS')
('png_color_type_palette', 'VBP')
('print0', 'JJ')
('colorfaq', 'NN')
('incorporated', 'VBN')
('hidden', 'JJ')
('doesnt', 'NN')
('comparisonchecking', 'VBG')
('arguments', 'NNS')
('redundant', 'JJ')
('happen', 'JJ')
('contriblibtestspngstest-errorshn', 'NN')
('png_structpng_info', 'NN')
('zlib_message', 'NN')
('inversion', 'NN')
('implies', 'NNS')
('combinations', 'NNS')
('changing', 'VBG')
('-11', 'NN')
('values><n', 'NN')
('png_read_supported', 'VBD')
('trust', 'JJ')
('effect', 'NN')
('destabilizing', 'VBG')
('flush_data_fn', 'NN')
('rejected', 'VBD')
('read_callback', 'NN')
('distinguish', 'NN')
('png_simplified_read_supported', 'VBN')
('stupidity', 'NN')
('warnuse', 'NN')
('licensen', 'VBD')
('bckg', 'JJ')
('architecture', 'NN')
('involve', 'VBP')
('responsibility', 'NN')
('as-yet', 'RB')
('repeating', 'VBG')
('replicated', 'VBN')
('longjmppng_ptr->jmp_buf_ptr', 'JJ')
('entered', 'JJ')
('parallel', 'NN')
('gammas', 'NN')
('permutes', 'VBZ')
('parts', 'NNS')
('intercepted', 'VBD')
('white_scale', 'JJ')
('describe', 'NN')
('trailing', 'VBG')
('libpng-160', 'JJ')
('fflushfclose', 'JJ')
('modf', 'NN')
('subtraction', 'NN')
('conversion', 'NN')
('theyre', 'NN')
('btoaalpha', 'IN')
('pseudo-random', 'JJ')
('retrieval', 'NN')
('png_div51', 'NN')
('terminators', 'NNS')
('modify_fn', 'VBP')
('exit_test', 'JJS')
('cancel', 'NN')
('<chunk>', 'NN')
('lookups', 'VBZ')
('png_composite', 'JJ')
('kept', 'VBD')
('generating', 'VBG')
('lose', 'JJ')
('lead', 'JJ')
('examine', 'NN')
('libpng-121', 'JJ')
('computations', 'NNS')
('examination', 'VBP')
('red-yred-scale', 'JJ')
('right_shift', 'NN')
('do_own_interlace', 'NN')
('rgba-8', 'JJ')
('insecure', 'NN')
('counters', 'NNS')
('mapped', 'VBD')
('wrappers', 'NNS')
('safetys', 'VBP')
('throw', 'JJ')
('png_structgamma', 'NN')
('pngrtranc', 'NN')
('png_noreturn', 'NN')
('grp', 'NN')
('memcmp', 'NN')
('includes', 'VBZ')
('removes', 'VBZ')
('bit-depth', 'JJ')
('arm', 'JJ')
('note', 'NN')
('pre-17', 'JJ')
('enhancements', 'NNS')
('cast', 'VBD')
('out-of-memory', 'JJ')
('platforms', 'NNS')
('device', 'NN')
('shipped', 'VBD')
('explain', 'VB')
('overflow', 'JJ')
('corresponding', 'VBG')
('backgroundpre-multiplication', 'NN')
('protect', 'NN')
('expectations', 'NNS')
('saw', 'VBD')
('crc320ul', 'JJ')
('enclosing', 'VBG')
('treat', 'NN')
('dimensions', 'NNS')
('png_header_version_string', 'VBG')
('pngrioc', 'NN')
('status_code', 'NN')
('was', 'VBD')
('effects', 'NNS')
('write_flush', 'VBP')
('like', 'IN')
('unsigned_max1', 'JJ')
('crashing', 'VBG')
('read_rgb_to_gray', 'NN')
('dated', 'VBD')
('blue-zblue-scale', 'JJ')
('answer', 'NN')
('gray_to_rgb', 'NN')
('characters', 'NNS')
('addition', 'NN')
('print', 'NN')
('truncate', 'NN')
('png_structtime_buffer', 'VBP')
('blue-y', 'JJ')
('red-x', 'JJ')
('lab', 'NN')
('tablelow', 'NN')
('comes', 'VBZ')
('sync_flush', 'JJ')
('idats', 'NNS')
('requires', 'VBZ')
('adjusts', 'NNS')
('ok-bits', 'NNS')
('accept', 'VBP')
('read_bgr', 'JJ')
('approaches', 'NNS')
('g16', 'VBP')
('emit_error', 'JJ')
('httpswebarchiveorgweb20000816232553wwwinforampnet', 'NN')
('think', 'VBP')
('fit', 'JJ')
('bit-20', 'JJ')
('experimental', 'JJ')
('reserve', 'NN')
('color-x', 'JJ')
('png_alpha_standard', 'NN')
('closeness', 'NN')
('body', 'NN')
('legion', 'JJ')
('c-90', 'JJ')
('chosen', 'NN')
('replicating', 'NN')
('rules', 'NNS')
('sufficient', 'JJ')
('<httpwwwinforampnet~poynton>', 'NNP')
('p_srgb', 'NN')
('control_end', 'NN')
('validates', 'VBZ')
('information', 'NN')
('exported', 'VBD')
('png_invert_alpha', 'NN')
('andor', 'NN')
('conformant', 'NN')
('worth', 'NN')
('recommended', 'VBD')
('info_structs', 'NNS')
('nused', 'VBN')
('efficient', 'JJ')
('encounter', 'RB')
('>background_gamma_typepng_background_gamma_unknown', 'JJ')
('ambiguities', 'NNS')
('masking', 'VBG')
('stop_invalid', 'JJ')
('png_set_shiftpng_structp', 'NN')
('pngwutilc', 'NN')
('register', 'NN')
('triplets', 'NNS')
('floating_point', 'JJ')
('utilities', 'NNS')
('filtering', 'VBG')
('illuminant', 'JJ')
('store_palette', 'NN')
('under', 'IN')
('gray->rgb', 'JJ')
('modifiers', 'NNS')
('md54', 'VBP')
('minus', 'NNS')
('issues', 'NNS')
('defaulted', 'VBD')
('transform_range_check', 'NN')
('loses', 'NNS')
('deinterlace', 'VBP')
('png_swap_bytes', 'NNS')
('understands', 'JJ')
('png_pass_start_rowpass', 'JJ')
('png-10', 'JJ')
('start_image', 'NN')
('arises', 'NNS')
('conform', 'VB')
('assigns', 'NNS')
('non-default', 'JJ')
('handler', 'NN')
('png_store', 'NN')
('tableiv', 'NN')
('starts', 'VBZ')
('column', 'NN')
('low-bit', 'JJ')
('stripunsafe', 'JJ')
('invariants', 'NNS')
('opposed', 'VBN')
('in_pixel', 'JJ')
('pre-multiplying', 'JJ')
('version_nn_nn_nn', 'NN')
